FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate (2015-2019),Annual Unemployment Rate (2015-2019),Below Poverty,Uninsured,Monthly Unemployment Rate (Dec-22)
27071,Koochiching County,Minnesota,0.9389147802929427,0.2203728362183755,0.4116,54708.0,0.5825825825825826,0.05271034253408713,0.08775193798449613,0.06108521970705727,0.046
27073,Lac qui Parle County,Minnesota,0.9745290128108516,0.21130369253956294,0.4468,60718.0,0.5893212669683258,0.02364864864864865,0.0551611141452758,0.02547098718914842,0.042
27073,Lac qui Parle County,Minnesota,0.9745290128108516,0.21130369253956294,0.4468,60718.0,0.5893212669683258,0.02364864864864865,0.0551611141452758,0.02547098718914842,0.035
27075,Lake County,Minnesota,0.9513381995133819,0.16984839977540708,0.3945,66828.0,0.5602082640965991,0.03381451453430888,0.04644638403990025,0.048661800486618056,0.06
27075,Lake County,Minnesota,0.9513381995133819,0.16984839977540708,0.3945,66828.0,0.5602082640965991,0.03381451453430888,0.04644638403990025,0.048661800486618056,0.055999999999999994
27077,Lake of the Woods County,Minnesota,0.9383580080753702,0.2320323014804845,0.3995,55913.0,0.5974658869395711,0.052202283849918436,0.06370192307692307,0.061641991924629824,0.037000000000000005
27077,Lake of the Woods County,Minnesota,0.9383580080753702,0.2320323014804845,0.3995,55913.0,0.5974658869395711,0.052202283849918436,0.06370192307692307,0.061641991924629824,0.033
27079,Le Sueur County,Minnesota,0.9463764548683147,0.15619395899996483,0.3946,80425.0,0.6987807581467523,0.037243829706236915,0.05917011407797418,0.053623545131685324,0.063
27079,Le Sueur County,Minnesota,0.9463764548683147,0.15619395899996483,0.3946,80425.0,0.6987807581467523,0.037243829706236915,0.05917011407797418,0.053623545131685324,0.053
27081,Lincoln County,Minnesota,0.948410535876476,0.18528610354223432,0.4408,58621.0,0.6243081691388089,0.02127659574468085,0.05126498002663116,0.051589464123524054,0.037000000000000005
27081,Lincoln County,Minnesota,0.948410535876476,0.18528610354223432,0.4408,58621.0,0.6243081691388089,0.02127659574468085,0.05126498002663116,0.051589464123524054,0.053
27083,Lyon County,Minnesota,0.9391463027610283,0.2237781656616947,0.4566,62388.0,0.6828907048008171,0.033729713559195275,0.09122365523749607,0.060853697238971716,0.027999999999999997
27083,Lyon County,Minnesota,0.9391463027610283,0.2237781656616947,0.4566,62388.0,0.6828907048008171,0.033729713559195275,0.09122365523749607,0.060853697238971716,0.033
