FIPS,County,State,Total,Under 18,18 to 64,Over 64,Below 9th grade,High School,College,Advanced Degree,White,Black,Hispanic,Asian,Other_Races,Urban_Percentage
27067,Kandiyohi County,Minnesota,43504,0.24724163295329166,0.5644998161088636,0.1882585509378448,0.045248713550600346,0.8779073756432247,0.25265866209262433,0.07687821612349914,0.7805029422581832,0.05797168076498713,0.12856289076866495,0.00648216255976462,0.026480323648400146,0.5547
27069,Kittson County,Minnesota,4213,0.2193211488250653,0.5314502729646333,0.24922857821030145,0.020127474002012747,0.9235155987923516,0.26031533042603155,0.0754780275075478,0.9449323522430572,0.013054830287206266,0.016140517446000476,0.0028483266081177306,0.023023973415618324,0.0
27071,Koochiching County,Minnesota,12203,0.17889043677784153,0.5574858641317709,0.26362369909038763,0.02075635731362747,0.8703542708106933,0.16159530536839817,0.04509889154531624,0.9124805375727281,0.005818241416045235,0.013849053511431616,0.0018847824305498649,0.06596738506924527,0.53
27073,Lac qui Parle County,Minnesota,6753,0.2093884199614986,0.5216940618984155,0.2689175181400859,0.01303727846811978,0.900794459156651,0.19433693216541048,0.051537991444286,0.9425440544942988,0.00459055234710499,0.025914408411076558,0.006663705019991115,0.020287279727528505,0.0
27075,Lake County,Minnesota,10835,0.18864790032302722,0.5506229810798339,0.2607291185971389,0.015119852489244008,0.8926859250153657,0.26023355869698833,0.08838352796558083,0.9524688509460083,0.0033225657591139826,0.01541301338255653,0.0021227503461006,0.02667281956622058,0.33020000000000005
27077,Lake of the Woods County,Minnesota,3757,0.20867713601277615,0.54990684056428,0.24141602342294383,0.0010668563300142249,0.9594594594594594,0.2194167852062589,0.051564722617354196,0.9182858663827522,0.0005323396326856535,0.0005323396326856535,0.0007985094490284802,0.07985094490284801,0.0
27079,Le Sueur County,Minnesota,28567,0.2386319879581335,0.5865159099660447,0.17485210207582175,0.016018306636155607,0.9144673277396389,0.2379862700228833,0.06753114670734808,0.9035250463821892,0.008051247943431232,0.065320124619316,0.0039206076941926,0.019182973360870936,0.37840000000000007
27081,Lincoln County,Minnesota,5655,0.2339522546419098,0.5181255526083113,0.24792219274977895,0.01857429718875502,0.9011044176706827,0.21009036144578314,0.06049196787148595,0.9503094606542882,0.00654288240495137,0.021220159151193633,0.001237842617152962,0.020689655172413793,0.0
27083,Lyon County,Minnesota,25477,0.260234721513522,0.5793460768536327,0.16041920163284532,0.028897432717350863,0.8983008805655464,0.26863450328661787,0.06957708049113233,0.8262746791223456,0.030458845232955216,0.0732032813910586,0.048985359343721786,0.02107783490991875,0.5207
27085,McLeod County,Minnesota,36662,0.23182041350717364,0.5821559107522776,0.1860236757405488,0.019389926696618588,0.9106959880192322,0.1929140064633089,0.061322613699062035,0.8979051879330097,0.004691506191697125,0.06726310621351808,0.008346516829414653,0.02179368283236048,0.5344
27087,Mahnomen County,Minnesota,5429,0.31479093755756127,0.5126174249401363,0.17259163750230244,0.032651815685077815,0.7934086054317974,0.12938663411657003,0.038144644491913335,0.44520169460305764,0.010499171118069627,0.04733836802357708,0.003683919690550746,0.4932768465647449,0.0
27089,Marshall County,Minnesota,9082,0.2328782206562431,0.5526315789473685,0.21449020039638847,0.0240582462804685,0.872269705603039,0.19262424817980373,0.04510921177587844,0.9268883505835719,0.00451442413565294,0.04580488879101519,0.0036335608896718784,0.019158775600088086,0.0
27091,Martin County,Minnesota,20070,0.21998006975585452,0.5496761335326358,0.23034379671150973,0.02443293195183422,0.8970876505180622,0.2156258751050126,0.06433772052646318,0.9121076233183857,0.003786746387643249,0.05166915794718485,0.005430991529646238,0.02700548081714001,0.4596
27093,Meeker County,Minnesota,23268,0.24484270242392986,0.556687295856971,0.1984700017190992,0.016754125308212683,0.9071884681039388,0.1956123158626794,0.05999873553771259,0.9343304108647069,0.003739040742650851,0.04207495272477222,0.00210589651022864,0.017749699157641397,0.3448
27095,Mille Lacs County,Minnesota,26397,0.23961056180626586,0.5813539417358033,0.17903549645793082,0.02593343933329678,0.8450024672405285,0.1609737375952629,0.05115412029168266,0.8821456983748153,0.00405349092699928,0.026139334015229002,0.005909762473008296,0.0817517142099481,0.2918
